id,created_at,name,dose
5,2024-03-08 07:33:58.306026+00,সানটাপ ৫০এসপি,১.৪ কেজি/হেক্টর
7,2024-03-11 15:08:23.757555+00,"পাইটাফ ",৮ গ্রাম / ১৬ লিটার
10,2024-03-27 11:14:26.072113+00,পাইক্লোরেক্স ২০ ইসি,"৩৫ মিলি ১০ লিটার পানিতে "
11,2024-03-27 11:16:11.662043+00,ফরচুনের ৭৫ এসপ(এসি ফে ট),"১৫ গ্রাম ১০ লিটার পানিতে "
12,2024-03-31 04:38:06.324097+00,"অটোস্টিন ৫০ ডব্লিউ  ডিজি( কার্বনডাজিম) ","২ গ্রাম পার লিটার পানি "
13,2024-03-31 06:29:48.264625+00,বাতির (কারটাপ+ এসিটামিপ্রইড),৫০ গ্রাম / ৩৩ শতকে
15,2024-03-31 09:09:33.902962+00,কার্টাপ্রিড ৯৫ এস পি,১ এম এল/ লিটার পানি
16,2024-04-02 04:13:36.12307+00,ভিরতাকো,৩০ গ্রাম/ একর
17,2024-04-18 05:46:55.588545+00,"মাইনেটো এক্সট্রা  ৪০ ",২০০ গ্রাম / লিটার পানি
18,2024-04-18 12:24:50.6234+00,স্টার্টার ৪০ ইসি ( ডাইমেথয়েট),২ মিলি / লিটার পানি
19,2024-04-18 12:33:13.431965+00,ন্যাশনাল বোরন," ০.৫-১ গ্রাম/ লিটার পানি"
20,2024-04-24 06:55:53.768474+00,এবামেকটিন  ৯.৮ ই সি,১ মিলি/ ১ লিটার পানি
21,2024-04-24 06:57:38.784619+00,এডক্লোপ ২০ এস এল ( ইমিডাক্লোপ্রিড),১ মিলি/ ১ লিটার পানি
22,2024-04-24 07:08:05.201693+00,এন্টিবোবার ৪০ ডব্লিউডিজি (থায়ামেথোক্সাম+ এমাবেকটিন  বেনজয়েট ২০%),২ গ্রাম/ ২ লিটার পানি
23,2024-04-24 07:12:47.977689+00,কার্টাপ্রিড ৯৫ এস পি (কারটাপ + এ্যাসিটামিপ্রিড),১ গ্রাম / ১ লিটার
24,2024-04-24 07:15:43.845178+00,ফিউমিটক্স (এলুমিনিয়াম  ফসফাইড),
25,2024-04-24 07:22:15.146158+00,মর্টার  ৪৮ ইসি (ক্লোরাপাইরিফস)," ১ মিলি / লিটার পানি"
26,2024-05-13 06:55:40.515717+00,ককসিড ১০ ডব্লিউপি ( ল্যামাডা সাইহ্যালোথ্রিন ১০%),"৬৫ গ্রাম/ ৮ লিটার পানিতে "
27,2024-05-13 06:56:50.653469+00," গ্রীন লিফ ( ট্যাব) ( জিবেরিলেক এসিড)"," ১ টি ট্যাবলেট ৫ লিটার পানিতে"
28,2024-05-13 06:58:07.819002+00,ফাস্ট পটাশ (সালফেট অব পটাশ),৩=৪ গ্রাম প্রতি লিটার পানিতে
29,2024-05-13 07:11:47.732348+00," আগাছা/বেনসালিন ১৮ ডব্লিউপি ( বেনসালফিউরান মিথািইল ৪% এসিটোক্লোর ১৪%",রোপনের ৭-১০ সদিনের মধ্যে ১০০ গ্রাম/ বিঘা
30,2024-05-13 07:12:58.704675+00,"জিরো হার্ব ( প্যারাকোয়াট) ",৬ি০ মিলি ১০ লিটার পানিতে
31,2024-05-13 07:17:30.286083+00,আগাছা/ ইরেজার (গ্রাইসোফেট ৪১%),"পতিত জমির জন্য
৩-৪ লিটার /হেক্টর"
32,2024-05-13 07:19:56.469+00,"আগাছা ৩৩ ইসি / তরূনিল (পেন্ডিমেথানিল) "," ফসল রোপনের  পরে  ৪০ মিলি ১০ লিটার পানিতে"
33,2024-05-13 07:44:20.313104+00,ডিসপেল ৪৮ ইসি  (কোরপাইরিফস ),২-৩ লিটার / লিটার পানিতে
34,2024-05-13 07:46:46.39915+00,"টক্সিমাইট ১.৮ ইসি ( এবামেকটিন) ",২-৩ মিলি/ লিটার পানিতে
35,2024-05-13 07:47:53.45381+00,সিনারিল ৮৫ ডব্লিউ পি  (কার্বারিল),২-৩ গ্রাম / লিটার পানিতে
36,2024-05-13 07:49:22.799959+00,ক্লোরসাইরিন ৫৫০ ইসি ( সাইপার মেথ্রিন ৫ % + ক্লোরপাইরিফস ৫০ %)," ১- ২ মিলি/ লিটার পানিতে"
37,2024-05-13 07:51:08.519371+00,"এওয়ার্ড (বুপ্রোফেজিন) "," ৫ মিলি/ ১০ লিটার পানিতে"
38,2024-05-13 07:52:16.199999+00,ফিলবার্ট  ৫০ এস সি ( ফিপ্রোনিল)," ১-২ মিলি/ লিটার পানিতে"
39,2024-05-13 07:53:40.16359+00,ইমপেল ২০ এস এল  ( ইমিডাক্লোপ্রিড)," ১- ২  মিলি / লিটার পানিতে"
